dataset_key,dataset_label,model_key,model_label,is_sigma_baseline,higher_better,display_unit,seed,metric_raw,metric_display,wandb_group,wandb_run_id,wandb_run_name
peptides_struct,Peptides-struct,SiGMA_attn_gate,"SiGMA, ung. MP",False,False,MAE,0,0.25138,0.25138,paper_T5_peptides_struct_SiGMA_attn_gate,ptoj5592,paper_T5_peptides_struct_SiGMA_attn_gate_seed0_job35354579_6
peptides_struct,Peptides-struct,SiGMA_attn_gate,"SiGMA, ung. MP",False,False,MAE,1,0.24801,0.24801,paper_T5_peptides_struct_SiGMA_attn_gate,h92hupzz,paper_T5_peptides_struct_SiGMA_attn_gate_seed1_job35354579_7
peptides_struct,Peptides-struct,SiGMA_attn_gate,"SiGMA, ung. MP",False,False,MAE,2,0.2491,0.2491,paper_T5_peptides_struct_SiGMA_attn_gate,ibht8hpv,paper_T5_peptides_struct_SiGMA_attn_gate_seed2_job35354579_8
peptides_struct,Peptides-struct,SiGMA_attn_gate,"SiGMA, ung. MP",False,False,MAE,3,0.24545,0.24545,paper_T5_peptides_struct_SiGMA_attn_gate,cyey0kup,paper_T5_peptides_struct_SiGMA_attn_gate_seed3_job35354579_9
peptides_struct,Peptides-struct,SiGMA_attn_gate,"SiGMA, ung. MP",False,False,MAE,4,0.24833,0.24833,paper_T5_peptides_struct_SiGMA_attn_gate,u4g3b3g5,paper_T5_peptides_struct_SiGMA_attn_gate_seed4_job35354579_10
peptides_struct,Peptides-struct,SiGMA_ungated_attn,"SiGMA, ung. att.",False,False,MAE,0,0.2429,0.2429,paper_T5_peptides_struct_SiGMA_ungated_attn,sdn67gn5,paper_T5_peptides_struct_SiGMA_ungated_attn_seed0_job36605829_6
peptides_struct,Peptides-struct,SiGMA_ungated_attn,"SiGMA, ung. att.",False,False,MAE,1,0.24275,0.24275,paper_T5_peptides_struct_SiGMA_ungated_attn,fxieuuvb,paper_T5_peptides_struct_SiGMA_ungated_attn_seed1_job36605829_7
peptides_struct,Peptides-struct,SiGMA_ungated_attn,"SiGMA, ung. att.",False,False,MAE,2,0.24357,0.24357,paper_T5_peptides_struct_SiGMA_ungated_attn,rypopsiu,paper_T5_peptides_struct_SiGMA_ungated_attn_seed2_job36605829_8
peptides_struct,Peptides-struct,SiGMA_ungated_attn,"SiGMA, ung. att.",False,False,MAE,3,0.24744,0.24744,paper_T5_peptides_struct_SiGMA_ungated_attn,p9y21268,paper_T5_peptides_struct_SiGMA_ungated_attn_seed3_job36605829_9
peptides_struct,Peptides-struct,SiGMA_ungated_attn,"SiGMA, ung. att.",False,False,MAE,4,0.24247,0.24247,paper_T5_peptides_struct_SiGMA_ungated_attn,nfqq111h,paper_T5_peptides_struct_SiGMA_ungated_attn_seed4_job36605829_10
peptides_struct,Peptides-struct,SiGMA_ungated,"SiGMA, ungated",False,False,MAE,0,0.25702,0.25702,paper_T5_peptides_struct_SiGMA_ungated,34wmc8bb,paper_T5_peptides_struct_SiGMA_ungated_seed0_job32232124_26
peptides_struct,Peptides-struct,SiGMA_ungated,"SiGMA, ungated",False,False,MAE,1,0.24741,0.24741,paper_T5_peptides_struct_SiGMA_ungated,pfwl6be9,paper_T5_peptides_struct_SiGMA_ungated_seed1_job32232124_27
peptides_struct,Peptides-struct,SiGMA_ungated,"SiGMA, ungated",False,False,MAE,2,0.24753,0.24753,paper_T5_peptides_struct_SiGMA_ungated,oxol1qix,paper_T5_peptides_struct_SiGMA_ungated_seed2_job32232124_28
peptides_struct,Peptides-struct,SiGMA_ungated,"SiGMA, ungated",False,False,MAE,3,0.24458,0.24458,paper_T5_peptides_struct_SiGMA_ungated,snc7hqr4,paper_T5_peptides_struct_SiGMA_ungated_seed3_job32232124_29
peptides_struct,Peptides-struct,SiGMA_ungated,"SiGMA, ungated",False,False,MAE,4,0.24244,0.24244,paper_T5_peptides_struct_SiGMA_ungated,gno276w2,paper_T5_peptides_struct_SiGMA_ungated_seed4_job32232124_30
voc,PascalVOC-SP,SiGMA,SiGMA,True,True,F1,0,0.46424,0.46424,paper_bestmodel_v1_voc_j7ukyzdm,zhfigzdi,voc_hybrid_j7ukyzdm_a2g2_seed0_job25322496_1
voc,PascalVOC-SP,SiGMA,SiGMA,True,True,F1,1,0.46442,0.46442,paper_bestmodel_v1_voc_j7ukyzdm,axtosowj,voc_hybrid_j7ukyzdm_a2g2_seed1_job25322496_2
voc,PascalVOC-SP,SiGMA,SiGMA,True,True,F1,2,0.46725,0.46725,paper_bestmodel_v1_voc_j7ukyzdm,umkqmd0q,voc_hybrid_j7ukyzdm_a2g2_seed2_job25322496_3
voc,PascalVOC-SP,SiGMA,SiGMA,True,True,F1,3,0.48105,0.48105,paper_bestmodel_v1_voc_j7ukyzdm,vyt7hjj5,voc_hybrid_j7ukyzdm_a2g2_seed3_job25322496_4
voc,PascalVOC-SP,SiGMA,SiGMA,True,True,F1,4,0.46651,0.46651,paper_bestmodel_v1_voc_j7ukyzdm,sdsawqf0,voc_hybrid_j7ukyzdm_a2g2_seed4_job25322496_5
voc,PascalVOC-SP,MP_only,MP-only,False,True,F1,0,0.42416,0.42416,paper_T5_voc_MP_only,ava68bbl,paper_T5_voc_MP_only_seed0_job32232124_56
voc,PascalVOC-SP,MP_only,MP-only,False,True,F1,1,0.4292,0.4292,paper_T5_voc_MP_only,pu1pi91p,paper_T5_voc_MP_only_seed1_job32232124_57
voc,PascalVOC-SP,MP_only,MP-only,False,True,F1,2,0.40754,0.40754,paper_T5_voc_MP_only,m0w70g4x,paper_T5_voc_MP_only_seed2_job32232124_58
voc,PascalVOC-SP,MP_only,MP-only,False,True,F1,3,0.4221,0.4221,paper_T5_voc_MP_only,xnyyju8z,paper_T5_voc_MP_only_seed3_job32232124_59
voc,PascalVOC-SP,MP_only,MP-only,False,True,F1,4,0.42475,0.42475,paper_T5_voc_MP_only,43tszpmc,paper_T5_voc_MP_only_seed4_job32232124_60
voc,PascalVOC-SP,Attn_only,Attention-only,False,True,F1,0,0.38857,0.38857,paper_T5_voc_Attn_only,zghkxdss,paper_T5_voc_Attn_only_seed0_job32232124_51
voc,PascalVOC-SP,Attn_only,Attention-only,False,True,F1,1,0.39387,0.39387,paper_T5_voc_Attn_only,iymkckex,paper_T5_voc_Attn_only_seed1_job32232124_52
voc,PascalVOC-SP,Attn_only,Attention-only,False,True,F1,2,0.39299,0.39299,paper_T5_voc_Attn_only,d3unoelb,paper_T5_voc_Attn_only_seed2_job32232124_53
voc,PascalVOC-SP,Attn_only,Attention-only,False,True,F1,3,0.38922,0.38922,paper_T5_voc_Attn_only,2ymqidjg,paper_T5_voc_Attn_only_seed3_job32232124_54
voc,PascalVOC-SP,Attn_only,Attention-only,False,True,F1,4,0.38913,0.38913,paper_T5_voc_Attn_only,r0fvgu5t,paper_T5_voc_Attn_only_seed4_job32232124_55
voc,PascalVOC-SP,SiGMA_attn_gate,"SiGMA, ung. MP",False,True,F1,0,0.47788,0.47788,paper_T5_voc_SiGMA_attn_gate,83ivoaxa,paper_T5_voc_SiGMA_attn_gate_seed0_job35354579_11
voc,PascalVOC-SP,SiGMA_attn_gate,"SiGMA, ung. MP",False,True,F1,1,0.46437,0.46437,paper_T5_voc_SiGMA_attn_gate,defa60go,paper_T5_voc_SiGMA_attn_gate_seed1_job35354579_12
voc,PascalVOC-SP,SiGMA_attn_gate,"SiGMA, ung. MP",False,True,F1,2,0.46437,0.46437,paper_T5_voc_SiGMA_attn_gate,8ixdgq1m,paper_T5_voc_SiGMA_attn_gate_seed2_job35354579_13
voc,PascalVOC-SP,SiGMA_attn_gate,"SiGMA, ung. MP",False,True,F1,3,0.46775,0.46775,paper_T5_voc_SiGMA_attn_gate,774rkwh2,paper_T5_voc_SiGMA_attn_gate_seed3_job35354579_14
voc,PascalVOC-SP,SiGMA_attn_gate,"SiGMA, ung. MP",False,True,F1,4,0.46094,0.46094,paper_T5_voc_SiGMA_attn_gate,i27b4n9s,paper_T5_voc_SiGMA_attn_gate_seed4_job35354579_15
voc,PascalVOC-SP,SiGMA_ungated_attn,"SiGMA, ung. att.",False,True,F1,0,0.45742,0.45742,paper_T5_voc_SiGMA_ungated_attn,1jvvujjy,paper_T5_voc_SiGMA_ungated_attn_seed0_job36605829_11
voc,PascalVOC-SP,SiGMA_ungated_attn,"SiGMA, ung. att.",False,True,F1,1,0.46681,0.46681,paper_T5_voc_SiGMA_ungated_attn,egf2fuq4,paper_T5_voc_SiGMA_ungated_attn_seed1_job36605829_12
